"Subject_Course","CRN","Title","Instructional_Method","Schedule_Type","Accounting_Method","Units","BUILDING","ROOM","DAYS","Time","Ptrm","Start_Date","End_Date","Max_Enroll","Actual_Enroll","WAIT_CAPACITY","Wait_List","Status","Instructor","CAMPUS"
"AGTC 210",20783,"Ag Project Construction",06,04,W,3,TCCE,104,W,"9:10PM - 10:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"AG 001",21068,"Ag, Society & The Environment",OO,02,ID,3,TCCB,B119,T,"6:10PM - 7:25PM",O,1/20/2026,1/20/2026,40,0,10,0,A,Staff,TCC
"AG 001",21068,"Ag, Society & The Environment",OO,72,ID,3,ONLINE,N/A,XX,"12:00AM - 12:00AM",O,1/20/2026,5/20/2026,40,0,10,0,A,Staff,TCC
"AG 002",20223,"Environmental Conservation",02,02,W,3,TCCB,B125,W,"6:10PM - 9:00PM",1,1/12/2026,5/20/2026,40,0,10,0,A,Staff,TCC
"AG 002",20889,"Environmental Conservation",02,02,W,3,HACVEB,104,T,"6:10PM - 9:00PM",1,1/12/2026,5/20/2026,40,0,10,0,A,Staff,HAC
"AG 004",20305,"Soil Science",06,02,W,3,TCCB,B226,T,"10:10AM - 11:00AM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"AG 004",20305,"Soil Science",06,02,W,3,TCCB,B226,R,"10:10AM - 12:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"AG 004",20305,"Soil Science",06,04,W,3,TCCB,B226,T,"11:10AM - 12:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"AG 004",21188,"Soil Science",06,02,W,3,TCCB,B225,M,"5:10PM - 8:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"AG 004",21188,"Soil Science",06,04,W,3,TCCB,B225,M,"8:10PM - 9:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"AG 110",20782,"Ag Leadership",06,02,W,3,TCCB,B117,M,"1:10PM - 2:00PM",1,1/12/2026,5/20/2026,25,0,10,0,A,Staff,TCC
"AG 110",20782,"Ag Leadership",06,02,W,3,TCCB,B117,W,"1:10PM - 3:00PM",1,1/12/2026,5/20/2026,25,0,10,0,A,Staff,TCC
"AG 110",20782,"Ag Leadership",06,04,W,3,TCCB,B117,M,"2:10PM - 3:00PM",1,1/12/2026,5/20/2026,25,0,10,0,A,Staff,TCC
"AG 125",20345,"Principles of Pesticide Use",ON,72,IW,3,ONLINE,N/A,XX,"12:00AM - 12:00AM",1,1/12/2026,5/20/2026,40,0,10,0,A,Staff,ONC
"ASCI 001",20002,"Intro to Animal Science",06,02,W,3,TCCB,B119,T,"10:10AM - 11:00AM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 001",20002,"Intro to Animal Science",06,02,W,3,TCCB,B119,R,"10:10AM - 12:00PM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 001",20002,"Intro to Animal Science",06,04,W,3,TCCB,B119,T,"11:10AM - 12:00PM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 001",21415,"Intro to Animal Science",DE,02,W,3,CORHS,N/A,MTF,"8:00AM - 8:50AM",1,1/12/2026,5/20/2026,0,0,0,0,A,Staff,COR
"ASCI 001",21415,"Intro to Animal Science",DE,04,W,3,CORHS,N/A,R,"8:00AM - 8:50AM",1,1/12/2026,5/20/2026,0,0,0,0,A,Staff,COR
"ASCI 001",21416,"Intro to Animal Science",DE,02,W,3,CORHS,N/A,MTF,"2:30PM - 3:20PM",1,1/12/2026,5/20/2026,0,0,0,0,A,Staff,COR
"ASCI 001",21416,"Intro to Animal Science",DE,04,W,3,CORHS,N/A,W,"1:55PM - 2:45PM",1,1/12/2026,5/20/2026,0,0,0,0,A,Staff,COR
"ASCI 103",20346,"Feeds and Feeding",06,02,W,3,TCCB,B121,T,"1:10PM - 2:00PM",1,1/12/2026,5/20/2026,35,0,10,0,A,Staff,TCC
"ASCI 103",20346,"Feeds and Feeding",06,02,W,3,TCCB,B121,R,"1:10PM - 3:00PM",1,1/12/2026,5/20/2026,35,0,10,0,A,Staff,TCC
"ASCI 103",20346,"Feeds and Feeding",06,04,W,3,TCCB,B121,T,"2:10PM - 3:00PM",1,1/12/2026,5/20/2026,35,0,10,0,A,Staff,TCC
"ASCI 104",20003,"Livestock Disease & Sanitation",06,02,W,3,TCCB,B125,M,"10:10AM - 11:00AM",1,1/12/2026,5/20/2026,40,0,10,0,A,Staff,TCC
"ASCI 104",20003,"Livestock Disease & Sanitation",06,02,W,3,TCCB,B125,W,"10:10AM - 12:00PM",1,1/12/2026,5/20/2026,40,0,10,0,A,Staff,TCC
"ASCI 104",20003,"Livestock Disease & Sanitation",06,04,W,3,TCCB,B125,M,"11:10AM - 12:00PM",1,1/12/2026,5/20/2026,40,0,10,0,A,Staff,TCC
"ASCI 110",20217,"Swine Science",06,02,W,3,TCCB,B119,M,"8:10AM - 9:00AM",1,1/12/2026,5/20/2026,32,0,10,0,A,Staff,TCC
"ASCI 110",20217,"Swine Science",06,02,W,3,TCCB,B119,W,"8:10AM - 10:00AM",1,1/12/2026,5/20/2026,32,0,10,0,A,Staff,TCC
"ASCI 110",20217,"Swine Science",06,04,W,3,TCCB,B119,M,"9:10AM - 10:00AM",1,1/12/2026,5/20/2026,32,0,10,0,A,Staff,TCC
"ASCI 112",20397,"Small Ruminant Science",06,02,W,3,TCCB,B118,R,"8:10AM - 10:00AM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 112",20397,"Small Ruminant Science",06,02,W,3,TCCB,B118,T,"8:10AM - 9:00AM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 112",20397,"Small Ruminant Science",06,04,W,3,TCCB,B118,T,"9:10AM - 10:00AM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 113",21065,"Farm Animal Biology",06,02,W,3,TCCB,B118,W,"8:10AM - 9:00AM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 113",21065,"Farm Animal Biology",06,02,W,3,TCCB,B118,M,"8:10AM - 10:00AM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 113",21065,"Farm Animal Biology",06,04,W,3,TCCB,B118,W,"9:10AM - 10:00AM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 119",21064,"Breed/Select of Dairy Cattle",06,02,W,3,TCCB,B118,W,"3:10PM - 4:00PM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 119",21064,"Breed/Select of Dairy Cattle",06,02,W,3,TCCB,B118,M,"3:10PM - 5:00PM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 119",21064,"Breed/Select of Dairy Cattle",06,04,W,3,TCCB,B118,W,"4:10PM - 5:00PM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 123",20004,"Horse Production",06,02,W,3,TCCB,B119,W,"1:10PM - 3:00PM",1,1/12/2026,5/20/2026,25,0,10,0,A,Staff,TCC
"ASCI 123",20004,"Horse Production",06,02,W,3,TCCB,B119,M,"1:10PM - 2:00PM",1,1/12/2026,5/20/2026,25,0,10,0,A,Staff,TCC
"ASCI 123",20004,"Horse Production",06,04,W,3,TCCB,B119,M,"2:10PM - 3:00PM",1,1/12/2026,5/20/2026,25,0,10,0,A,Staff,TCC
"ASCI 126",20504,"Meat Science",06,02,W,3,TCCB,B118,W,"1:10PM - 2:00PM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 126",20504,"Meat Science",06,02,W,3,TCCB,B118,M,"1:10PM - 3:00PM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 126",20504,"Meat Science",06,04,W,3,TCCAR,AR101,W,"2:10PM - 3:00PM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 140",20509,"Beginning Equitation",06,02,W,3,TCCLH,LH100,TR,"11:10AM - 12:00PM",1,1/12/2026,5/20/2026,20,0,10,0,A,Staff,TCC
"ASCI 140",20509,"Beginning Equitation",06,02,W,3,TCCLH,LH100,T,"10:10AM - 11:00AM",1,1/12/2026,5/20/2026,20,0,10,0,A,Staff,TCC
"ASCI 140",20509,"Beginning Equitation",06,04,W,3,TCCLH,LH100,R,"10:10AM - 11:00AM",1,1/12/2026,5/20/2026,20,0,10,0,A,Staff,TCC
"ASCI 141",20286,"Intermediate Equitation",06,02,W,3,TCCLH,LH100,W,"6:10PM - 9:00PM",1,1/12/2026,5/20/2026,20,0,10,0,A,Staff,TCC
"ASCI 141",20286,"Intermediate Equitation",06,04,W,3,TCCLH,LH100,W,"9:10PM - 10:00PM",1,1/12/2026,5/20/2026,20,0,10,0,A,Staff,TCC
"ASCI 202",21580,"Applied Food Safety Mgmt",06,02,W,3,TCCB,B118,W,"10:10AM - 11:00AM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 202",21580,"Applied Food Safety Mgmt",06,02,W,3,TCCB,B118,M,"10:10AM - 12:00PM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 202",21580,"Applied Food Safety Mgmt",06,04,W,3,TCCB,B118,W,"11:10AM - 12:00PM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ASCI 224",20694,"Livestock Merchandising",06,02,W,2,TCCAR,AR101,R,"3:10PM - 4:00PM",1,1/12/2026,5/20/2026,25,0,10,0,A,Staff,TCC
"ASCI 224",20694,"Livestock Merchandising",06,02,W,2,TCCAR,AR101,T,"3:10PM - 5:00PM",1,1/12/2026,5/20/2026,25,0,10,0,A,Staff,TCC
"ASCI 224",20694,"Livestock Merchandising",06,04,W,2,TCCAR,AR101,R,"4:10PM - 5:00PM",1,1/12/2026,5/20/2026,25,0,10,0,A,Staff,TCC
"ASCI 224",21664,"Livestock Merchandising",DE,02,W,2,LINHS,N/A,M,"2:30PM - 3:20PM",1,1/12/2026,5/20/2026,0,0,0,0,A,Staff,LIN
"ASCI 224",21664,"Livestock Merchandising",DE,04,W,2,LINHS,N/A,WF,"11:45AM - 1:00PM",1,1/12/2026,5/20/2026,0,0,0,0,A,Staff,LIN
"OH 001",20198,"Intro to Horticultural Science",06,02,W,3,TCCB,B226,W,"10:10AM - 12:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"OH 001",20198,"Intro to Horticultural Science",06,02,W,3,TCCB,B226,M,"10:10AM - 11:00AM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"OH 001",20198,"Intro to Horticultural Science",06,04,W,3,TCCB,B226,M,"11:10AM - 12:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"OH 007",21577,"Principles of Landscape Design",06,02,W,3,TCCB,B220,R,"8:10AM - 10:00AM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"OH 007",21577,"Principles of Landscape Design",06,02,W,3,TCCB,B220,T,"8:10AM - 9:00AM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"OH 007",21577,"Principles of Landscape Design",06,04,W,3,TCCB,B220,T,"9:10AM - 10:00AM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"OH 204",21179,"Nursery & Greenhouse Productn.",06,02,W,3,TCCB,B226,W,"8:10AM - 10:00AM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"OH 204",21179,"Nursery & Greenhouse Productn.",06,02,W,3,TCCB,B226,M,"8:10AM - 9:00AM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"OH 204",21179,"Nursery & Greenhouse Productn.",06,04,W,3,TCCB,B226,M,"9:10AM - 10:00AM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"OH 208",21578,"Landscape Construction",06,02,W,3,TCCB,B220,R,"1:10PM - 3:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"OH 208",21578,"Landscape Construction",06,02,W,3,TCCB,B220,T,"1:10PM - 2:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"OH 208",21578,"Landscape Construction",06,04,W,3,TCCB,B220,T,"2:10PM - 3:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"OH 213",20695,"Wedding Flowers",DE,06,W,3,EXEHS,N/A,MTWR,"1:05PM - 1:55PM",1,1/12/2026,5/20/2026,0,0,0,0,A,Staff,EXE
"OH 213",21491,"Wedding Flowers",DE,02,W,3,EXEHS,N/A,MTWR,"2:15PM - 3:05PM",1,1/12/2026,5/20/2026,0,0,0,0,A,Staff,EXE
"OH 222",21579,"Pests of Ornamentals",06,02,W,3,TCCB,B226,M,"1:10PM - 3:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"OH 222",21579,"Pests of Ornamentals",06,02,W,3,TCCB,B226,W,"1:10PM - 2:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"OH 222",21579,"Pests of Ornamentals",06,04,W,3,TCCB,B226,W,"2:10PM - 3:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"PLSI 001",20158,"Intro to Plant Science",06,02,W,3,TCCB,B225,R,"3:10PM - 5:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"PLSI 001",20158,"Intro to Plant Science",06,02,W,3,TCCB,B225,T,"3:10PM - 4:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"PLSI 001",20158,"Intro to Plant Science",06,04,W,3,TCCB,B225,T,"4:10PM - 5:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"PLSI 001",20351,"Intro to Plant Science",06,02,W,3,HACEDU,E77,W,"6:10PM - 9:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,HAC
"PLSI 001",20351,"Intro to Plant Science",06,04,W,3,HACEDU,E77,W,"9:10PM - 10:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,HAC
"PLSI 012",20429,"Fruit and Nut Production",OH,72,IW,3,ONLINE,N/A,XX,"12:00AM - 12:00AM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"PLSI 012",20429,"Fruit and Nut Production",OH,04,IW,3,TCCB,B225,T,"5:10PM - 7:00PM",1,1/13/2026,1/13/2026,24,0,10,0,A,Staff,TCC
"PLSI 012",20429,"Fruit and Nut Production",OH,04,IW,3,TCCB,B225,T,"5:10PM - 7:00PM",1,1/27/2026,1/27/2026,24,0,10,0,A,Staff,TCC
"PLSI 012",20429,"Fruit and Nut Production",OH,04,IW,3,TCCB,B225,T,"5:10PM - 7:00PM",1,2/10/2026,2/10/2026,24,0,10,0,A,Staff,TCC
"PLSI 012",20429,"Fruit and Nut Production",OH,04,IW,3,TCCB,B225,T,"5:10PM - 7:00PM",1,2/24/2026,2/24/2026,24,0,10,0,A,Staff,TCC
"PLSI 012",20429,"Fruit and Nut Production",OH,04,IW,3,TCCB,B225,T,"5:10PM - 7:00PM",1,3/10/2026,3/10/2026,24,0,10,0,A,Staff,TCC
"PLSI 012",20429,"Fruit and Nut Production",OH,04,IW,3,TCCB,B225,T,"5:10PM - 7:00PM",1,3/24/2026,3/24/2026,24,0,10,0,A,Staff,TCC
"PLSI 012",20429,"Fruit and Nut Production",OH,04,IW,3,TCCB,B225,T,"5:10PM - 7:00PM",1,4/7/2026,4/7/2026,24,0,10,0,A,Staff,TCC
"PLSI 012",20429,"Fruit and Nut Production",OH,04,IW,3,TCCB,B225,T,"5:10PM - 7:00PM",1,4/21/2026,4/21/2026,24,0,10,0,A,Staff,TCC
"PLSI 012",20429,"Fruit and Nut Production",OH,04,IW,3,TCCB,B225,T,"5:10PM - 7:00PM",1,5/5/2026,5/5/2026,24,0,10,0,A,Staff,TCC
"PLSI 105",20622,"Weeds and Poisonous Plants",OH,72,IW,3,ONLINE,N/A,XX,"12:00AM - 12:00AM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"PLSI 105",20622,"Weeds and Poisonous Plants",OH,04,IW,3,TCCB,B225,W,"5:10PM - 7:00PM",1,1/14/2026,1/14/2026,24,0,10,0,A,Staff,TCC
"PLSI 105",20622,"Weeds and Poisonous Plants",OH,04,IW,3,TCCB,B225,W,"5:10PM - 7:00PM",1,1/21/2026,1/21/2026,24,0,10,0,A,Staff,TCC
"PLSI 105",20622,"Weeds and Poisonous Plants",OH,04,IW,3,TCCB,B225,W,"5:10PM - 7:00PM",1,2/4/2026,2/4/2026,24,0,10,0,A,Staff,TCC
"PLSI 105",20622,"Weeds and Poisonous Plants",OH,04,IW,3,TCCB,B225,W,"5:10PM - 7:00PM",1,2/18/2026,2/18/2026,24,0,10,0,A,Staff,TCC
"PLSI 105",20622,"Weeds and Poisonous Plants",OH,04,IW,3,TCCB,B225,W,"5:10PM - 7:00PM",1,3/4/2026,3/4/2026,24,0,10,0,A,Staff,TCC
"PLSI 105",20622,"Weeds and Poisonous Plants",OH,04,IW,3,TCCB,B225,W,"5:10PM - 7:00PM",1,3/18/2026,3/18/2026,24,0,10,0,A,Staff,TCC
"PLSI 105",20622,"Weeds and Poisonous Plants",OH,04,IW,3,TCCB,B225,W,"5:10PM - 7:00PM",1,4/15/2026,4/15/2026,24,0,10,0,A,Staff,TCC
"PLSI 105",20622,"Weeds and Poisonous Plants",OH,04,IW,3,TCCB,B225,W,"5:10PM - 7:00PM",1,4/29/2026,4/29/2026,24,0,10,0,A,Staff,TCC
"PLSI 105",20622,"Weeds and Poisonous Plants",OH,04,IW,3,TCCB,B225,W,"5:10PM - 7:00PM",1,5/13/2026,5/13/2026,24,0,10,0,A,Staff,TCC
"PLSI 111",20510,"Citrus Production",06,02,W,3,TCCB,B225,R,"5:10PM - 8:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"PLSI 111",20510,"Citrus Production",06,04,W,3,TCCB,B225,R,"8:10PM - 9:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"PLSI 118",21583,"Advanced Irrigation",06,02,W,3,TCCE,104,T,"5:10PM - 8:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"PLSI 118",21583,"Advanced Irrigation",06,04,W,3,TCCE,104,T,"8:10PM - 9:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"VT 216",20556,"Veterinary Office Practices",06,02,W,3,TCCB,B118,T,"10:10AM - 11:00AM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"VT 216",20556,"Veterinary Office Practices",06,02,W,3,TCCB,B118,R,"10:10AM - 12:00PM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"VT 216",20556,"Veterinary Office Practices",06,04,W,3,TCCB,B118,T,"11:10AM - 12:00PM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"ACCT 001",20005,"Financial Accounting",02,02,W,4,KERN,715B,TR,"1:10PM - 3:00PM",1,1/12/2026,5/20/2026,40,0,10,0,A,"Hinojosa, A",COS
"ACCT 001",20006,"Financial Accounting",ON,72,IW,4,ONLINE,N/A,XX,"12:00AM - 12:00AM",1,1/12/2026,5/20/2026,40,0,10,0,A,"Hinojosa, A",ONC
"ACCT 001",20140,"Financial Accounting",ON,72,IW,4,ONLINE,N/A,XX,"12:00AM - 12:00AM",1,1/12/2026,5/20/2026,40,0,10,0,A,"Hinojosa, A",ONC
"ACCT 001",20184,"Financial Accounting",02,02,W,4,KERN,715A,MW,"3:10PM - 5:00PM",1,1/12/2026,5/20/2026,40,0,10,0,A,"Cooper, A",COS
"ACCT 001",20689,"Financial Accounting",02,02,W,4,TCCB,B218,TR,"8:10AM - 10:00AM",1,1/12/2026,5/20/2026,32,0,10,0,A,"Hinojosa, A",TCC
"ACCT 001",20905,"Financial Accounting",02,02,W,4,KERN,715B,MW,"8:10AM - 10:00AM",1,1/12/2026,5/20/2026,40,0,10,0,A,"Hinojosa, A",COS
"ACCT 002",20007,"Managerial Accounting",02,02,W,4,KERN,715B,MW,"10:10AM - 12:00PM",1,1/12/2026,5/20/2026,40,0,10,0,A,"Hinojosa, A",COS
"ACCT 002",20174,"Managerial Accounting",02,02,W,4,KERN,715A,MW,"1:10PM - 3:00PM",1,1/12/2026,5/20/2026,40,0,10,0,A,"Hinojosa, A",COS
"ACCT 002",20574,"Managerial Accounting",ON,72,IW,4,ONLINE,N/A,XX,"12:00AM - 12:00AM",1,1/12/2026,5/20/2026,40,0,10,0,A,"Hinojosa, A",ONC
"ACCT 002",20690,"Managerial Accounting",02,02,W,4,KERN,715A,T,"6:10PM - 10:00PM",1,1/12/2026,5/20/2026,40,0,10,0,A,"Cooper, A",COS
"ACCT 210",20173,"Computer Accounting",ON,72,IW,3,ONLINE,N/A,XX,"12:00AM - 12:00AM",1,1/12/2026,5/20/2026,40,0,10,0,A,"Cooper, A",ONC
"BUS 018",20159,"Business Law",02,02,W,4,KERN,715B,TR,"8:10AM - 10:00AM",1,1/12/2026,5/20/2026,40,0,10,0,A,"Cordero, P",COS
"BUS 018",20508,"Business Law",02,02,W,4,KERN,715B,W,"6:10PM - 10:00PM",1,1/12/2026,5/20/2026,40,0,10,0,A,"Wise, S",COS
"BUS 018",20570,"Business Law",ON,72,IW,4,ONLINE,N/A,XX,"12:00AM - 12:00AM",1,1/12/2026,5/20/2026,40,0,10,0,A,"Cordero, P",ONC
"BUS 018",21556,"Business Law",02,02,W,4,KERN,715B,M,"6:10PM - 10:00PM",1,1/12/2026,5/20/2026,40,0,10,0,A,Staff,COS
"BUS 020",20386,"Business Statistics",02,02,W,3,KERN,714,MW,"8:10AM - 9:25AM",1,1/12/2026,5/20/2026,30,0,10,0,A,"Giannandrea, G",COS
"BUS 020",20691,"Business Statistics",ON,72,IW,3,ONLINE,N/A,XX,"12:00AM - 12:00AM",1,1/12/2026,5/20/2026,40,0,10,0,A,"Giannandrea, G",ONC
"BUS 082",20009,"Introduction to Business",ON,72,IW,3,ONLINE,N/A,XX,"12:00AM - 12:00AM",1,1/12/2026,5/20/2026,40,0,10,0,A,"Picciuto, K",ONC
"BUS 082",20169,"Introduction to Business",02,02,W,3,KERN,715A,MW,"10:10AM - 11:25AM",1,1/12/2026,5/20/2026,40,0,10,0,A,"Gutierrez, J",COS
"BUS 082",20322,"Introduction to Business",02,02,W,3,KERN,712B,TR,"8:10AM - 9:25AM",1,1/12/2026,5/20/2026,36,0,10,0,A,"Gutierrez, J",COS
"BUS 082",21657,"Introduction to Business",02,02,W,3,TCCB,B231,M,"6:10PM - 9:00PM",1,1/12/2026,5/20/2026,40,0,10,0,A,"Goedhart-Humphrey, C",TCC
